image,text
images/000129.png,航天器
images/000412.png,子弹射击木板
images/000240.png,念珠蓝细菌
images/000176.png,金丝猴
images/000121.png,光学显微镜下的原生质体
images/000238.png,拟南芥细胞中的淀粉粒（染成蓝色，放大 200 倍）
images/000317.png,太阳能热水器
images/000409.png,植物工厂
images/000160.png,歼20
images/000086.png,动力电池
images/000198.png,冷冻电子显微镜
images/000173.png,金花茶
images/000085.png,顶端优势（左）及其解除（右）
images/000267.png,燃气灶
images/000347.png,现代人所做伽利略斜面实验的频闪照片（组合图）
images/000407.png,支原体结构模式图
images/000306.png,水稻恶苗病植株（左）与正常植株（右）
images/000408.png,脂肪被苏丹Ⅲ染液染成橘黄色
images/000234.png,钠在空气中燃烧
images/000006.png,CT机
images/000319.png,糖果中使用了着色剂
images/000244.png,扭秤实验装置
images/000341.png,细胞骨架
images/000107.png,干燥的氯气使有色鲜花变色
images/000135.png,黑色树干上的桦尺蛾
images/000369.png,叶肉细胞
images/000143.png,滑梯
images/000321.png,跳板跳水
images/000163.png,减数分裂Ⅰ前期
images/000269.png,人的睾丸和精子示意图
images/000133.png,赫氏近鸟龙化石及复原图
images/000153.png,火山爆发
images/000209.png,硫的晶体
images/000046.png,撑竿跳
images/000279.png,赛龙舟
images/000138.png,红绿色盲检查图
images/000190.png,科研人员培育出的人工心脏（红色为心肌细胞，绿色环是一类结缔组织）
images/000208.png,磷脂分子
images/000050.png,初次沉淀池
images/000226.png,模拟平行金属板电场线的分布
images/000075.png,电磁打点计时器
images/000013.png,Fe2+被氧化
images/000402.png,长颈鹿的适应性特征示意图
images/000338.png,物质的量为1 mol的几种物质
images/000188.png,开普勒（Johannes Kepler，1571—1630）
images/000098.png,法拉第的圆盘发电机
images/000334.png,我国研制的燃料电池和超级电容混合动力有轨电车
images/000179.png,静电除尘原理
images/000345.png,细胞直接与内环境进行物质交换（箭头代表物质运输方向）
images/000318.png,唐氏综合征患者的染色体组成
images/000264.png,晴朗的夜空繁星闪烁
images/000170.png,酵母菌的电镜照片
images/000114.png,拱桥
images/000132.png,核苷酸连接而成的长链
images/000079.png,电容器
images/000064.png,单晶硅
images/000083.png,淀粉与碘反应
images/000303.png,树林中的丁达尔效应
images/000048.png,池塘中的水华
images/000386.png,用不锈钢制造的地铁列车的车体
images/000387.png,用手机中的传感器测量手腕的向心加速度
images/000057.png,大肠杆菌透射电镜照片（放大 12 000 倍）
images/000039.png,不锈钢餐具
images/000011.png,Fe(OH)3
images/000373.png,乙醇的分子结构模型
images/000270.png,人类X染色体
images/000037.png,冰湖
images/000109.png,钢铁的锈蚀
images/000271.png,人类Y染色体
images/000191.png,可变电容器
images/000038.png,冰滑
images/000137.png,红绿灯
images/000100.png,法拉第用过的线圈
images/000308.png,水果电池
images/000156.png,甲状腺滤泡上皮细胞
images/000339.png,西藏杓兰
images/000235.png,耐高温的碳化硅陶瓷轴承
images/000251.png,葡萄糖与氢氧化铜反应
images/000333.png,我国南海可燃冰试开采成功
images/000309.png,水华
images/000117.png,顾氏小盗龙化石
images/000311.png,水毛茛
images/000195.png,勒夏特列
images/000180.png,静电复印的工作流程
images/000353.png,向醋酸中滴加碳酸钠溶液
images/000217.png,马拉松跑者
images/000196.png,雷电
images/000161.png,减数分裂Ⅰ后期
images/000183.png,聚苯乙烯制成的泡沫包装材料
images/000168.png,简易电池
images/000301.png,收音机
images/000390.png,有机玻璃制成的飞机风挡
images/000136.png,黑藻的叶绿体
images/000362.png,旋转木马
images/000258.png,汽车行驶在公路上
images/000060.png,大象
images/000041.png,测量手臂到指尖的长度
images/000256.png,汽车受驱动力的示意图
images/000193.png,枯叶蝶和翅色艳丽的蝴蝶
images/000054.png,川金丝猴
images/000177.png,茎向上生长
images/000116.png,固定电容器
images/000257.png,汽车速度计
images/000371.png,胰岛
images/000167.png,减数分裂Ⅱ中期
images/000185.png,聚氯乙烯可制成电线外面的绝缘层
images/000213.png,骡
images/000140.png,胡克绘制的木栓细胞图
images/000330.png,我国古代烧制的精美瓷器
images/000272.png,人胚胎发育早期
images/000040.png,槽码牵引小车运动
images/000261.png,枪乌贼
images/000381.png,荧光树
images/000281.png,沙漏
images/000030.png,爆炸
images/000094.png,发酵生产葡萄酒的车间
images/000139.png,侯德榜雕像
images/000406.png,正常白细胞（
images/000171.png,酵母菌剪接体冷冻电镜三维结构示意图
images/000224.png,猕猴
images/000044.png,超导陶瓷可应用于磁悬浮技术
images/000001.png,香蕉球”示意图
images/000026.png,氨与氯化氢反应
images/000032.png,比萨斜塔
images/000197.png,类风湿关节炎患者（示手部关节，左：正常，右：畸形）
images/000280.png,色球蓝细菌
images/000134.png,褐花杓兰
images/000115.png,古细菌化石
images/000239.png,年轮
images/000087.png,动物脂肪细胞中储存的脂肪
images/000111.png,高压输电线
images/000221.png,煤炭燃烧造成环境污染
images/000099.png,法拉第用过的线圈 (2)
images/000359.png,心脏除颤器
images/000342.png,细胞核结构模式图
images/000181.png,静电现象
images/000380.png,印刷电路板
images/000328.png,维萨里解剖工作图
images/000076.png,电解精炼铜车间
images/000266.png,燃料的燃烧
images/000229.png,某海岛上残翅和无翅的昆虫
images/000394.png,原始社会人
images/000332.png,我国科学家屠呦呦因青蒿素的研究获得2015年诺贝尔生理学或医学奖
images/000259.png,汽车用铅酸蓄电池
images/000246.png,浓硫酸与铜反应
images/000395.png,原子钟
images/000323.png,铁强化酱油
images/000049.png,充电宝给手机充电
images/000080.png,电子层模型示意图
images/000315.png,缩手反射示意图
images/000169.png,将铝片放入NaOH溶液中
images/000289.png,施一公
images/000148.png,环境保护工程师正在进行环境监测
images/000077.png,电热水壶
images/000231.png,木星
images/000254.png,曝气沉砂池
images/000066.png,弹簧拉力示意图
images/000248.png,配制一定物质的量浓度的NaCl溶液过程示意图
images/000377.png,乙烯与高锰酸钾反应
images/000291.png,石油加工及产品用途示意图 - 副本
images/000003.png,Ag2S
images/000370.png,一种叶绿素分子
images/000391.png,有氧呼吸过程示意图
images/000368.png,阳光穿过三棱镜
images/000091.png,二氧化硫的漂白作用
images/000031.png,北京自然博物馆的恐龙模型
images/000035.png,标枪
images/000285.png,狮
images/000027.png,白色菊花
images/000122.png,硅晶片是生产芯片的基础材料
images/000344.png,细胞培养
images/000063.png,丹霞地貌的岩层因含Fe2O3而呈红色
images/000337.png,武当山金殿
images/000356.png,小球做平抛运动的频闪照片
images/000065.png,弹簧和手受力示意图
images/000297.png,食蚁兽
images/000275.png,人体内的免疫器官示意图
images/000103.png,飞机919
images/000008.png,DNA雕塑
images/000194.png,库仑（Charles-Augustin Coulomb，1736—1806）
images/000296.png,食物的腐败
images/000166.png,减数分裂Ⅱ末期
images/000088.png,端粒的显微照片（图中染色体为红色，黄色荧光显示染色体两端的端粒）
images/000413.png,自行车传动装置
images/000204.png,镰状红细胞
images/000233.png,钠与水反应
images/000302.png,首钢炼铁高炉
images/000157.png,钾离子通道模式图
images/000182.png,巨石阵
images/000067.png,弹簧形变实验装置
images/000042.png,测试工程师在工作
images/000329.png,魏尔肖在讲演
images/000242.png,牛顿（Isaac Newton，1643—1727）
images/000104.png,肥胖症
images/000142.png,虎
images/000033.png,避雷针
images/000414.png,自行车过弯
images/000357.png,斜面上物体受力示意图
images/000366.png,演示电磁波发射与接收的装置
images/000305.png,甩手轨迹图
images/000376.png,乙烯的分子结构模型
images/000007.png,DNA 指纹检测
images/000236.png,南仁东
images/000189.png,抗虫棉
images/000294.png,实验室中制取氯气的装置示意图
images/000097.png,法拉第（Michael Faraday，179—1867）
images/000131.png,航天员在天宫一号目标飞行器上展示水球的实验
images/000174.png,金属的焰色试验
images/000260.png,汽车在沙滩冲刺
images/000144.png,滑雪者沿斜面下滑
images/000047.png,成熟的植物细胞模式图
images/000124.png,硅原子
images/000399.png,在水中形成的磷脂双分子层模式图
images/000404.png,赵忠贤
images/000125.png,果蝇DNA的电镜照片
images/000155.png,加热NaHCO3或Na2CO3
images/000312.png,水母
images/000307.png,水分子之间靠氢键结合示意图
images/000012.png,Fe(OH)3
images/000222.png,门捷列夫
images/000022.png,癌细胞的扫描电镜照片
images/000379.png,以DNA为模板转录RNA的示意图
images/000348.png,现代社会人
images/000367.png,羊水检查示意图
images/000004.png,AgCl
images/000172.png,节日烟花
images/000178.png,经组织培养得到的微型观赏株
images/000152.png,火箭发射
images/000389.png,游标卡尺
images/000355.png,硝酸与铜反应
images/000162.png,减数分裂Ⅰ末期
images/000352.png,向KI溶液中加入溴水
images/000358.png,泄洪
images/000025.png,氨氧化法制硝酸使用的网状铂-钯-铑合金催化剂
images/000095.png,发芽的大麦
images/000403.png,长满地衣的树干上的桦尺蛾
images/000005.png,AgI
images/000078.png,电热水器
images/000225.png,模拟电场线
images/000253.png,瀑布
images/000151.png,火车在轨道上
images/000372.png,乙醇的催化氧化
images/000187.png,聚乙烯制成的食品包装袋
images/000219.png,玫瑰
images/000017.png,KBr溶液 + 氯水
images/000053.png,储氢合金
images/000237.png,霓虹灯都市
images/000106.png,伽利略在做铜球沿斜面运动的实验（油画）
images/000284.png,神经元结构示意图
images/000092.png,二氧化硫溶于水
images/000043.png,颤蓝细菌
images/000232.png,钠保存在石蜡油或煤油中
images/000290.png,石油化工原料
images/000019.png,Mg(OH)2
images/000010.png,Fe(OH)2
images/000056.png,大肠杆菌扫描电镜照片（放大 10 000 倍）
images/000145.png,化工工程师通过观察仪表参数监控化工生产过程
images/000282.png,舍勒
images/000304.png,数字式多用电表
images/000203.png,痢疾内变形虫吞噬人体细胞
images/000002.png,《物种起源》
images/000313.png,水桶所受拉力示意图
images/000223.png,门捷列夫编制的第一张元素周期表（手稿）
images/000118.png,观察微小形变示意图
images/000016.png,H2在Cl2中燃烧
images/000072.png,地球和人造卫星受力示意图
images/000199.png,离子交换膜电解槽
images/000268.png,染色体、蛋白质和DNA示意图
images/000351.png,向FeCl3溶液中滴入KSCN溶液
images/000058.png,大脑图像
images/000277.png,溶洞形成
images/000018.png,KI溶液 + 氯水
images/000212.png,芦花鸡
images/000320.png,天然气灶
images/000416.png,足球比赛
images/000036.png,表皮细胞
images/000061.png,大熊猫吃冷箭竹
images/000158.png,钾在空气中燃烧
images/000230.png,某种兰花和专门给它传粉的蛾
images/000325.png,投篮
images/000015.png,Fe3+被还原
images/000207.png,猎豹追捕羚羊
images/000405.png,珍爱生命，拒绝毒品
images/000154.png,几丁质是外骨骼的重要组成成分
images/000130.png,航天员穿的航天服
images/000205.png,链条和齿轮
images/000105.png,风力发电机
images/000096.png,发芽的玉米粒
images/000310.png,水龙头
images/000071.png,地球
